label,norm,example_surface,suggested_canonical,bucket,freq
LOC,bahuka river,Bahuka River,,likely_missing_canonical_entity,6
LOC,ganges river,Ganges River,,likely_missing_canonical_entity,6
LOC,great hell,Great Hell,,likely_missing_canonical_entity,6
LOC,isigili mountain,Isigili mountain,,likely_missing_canonical_entity,6
LOC,tavatimsa,Tavatimsa,,likely_missing_canonical_entity,6
LOC,wild mango grove,Wild Mango Grove,,likely_missing_canonical_entity,6
LOC,yamuna,Yamuna,,likely_missing_canonical_entity,6
PERSON,anuraadha,Anuraadha,,likely_missing_canonical_entity,6
PERSON,dabba mallaputta,Dabba Mallaputta,,likely_missing_canonical_entity,6
PERSON,kaligodha's son,Kāḷigodhā's son,,likely_missing_canonical_entity,6
PERSON,migara's mother,Migara's Mother,,likely_missing_canonical_entity,6
PERSON,nalaka,Nalaka,,likely_missing_canonical_entity,6
PERSON,nibbana,Nibbana,,likely_missing_canonical_entity,6
PERSON,patacara,Patacara,,likely_missing_canonical_entity,6
PERSON,punabbasu,Punabbasu,,likely_missing_canonical_entity,6
PERSON,rohini's father,Rohini's father,,likely_missing_canonical_entity,6
PERSON,sanjaya,Sañjaya,,likely_missing_canonical_entity,6
PERSON,sarakaani,Sarakaani,,likely_missing_canonical_entity,6
PERSON,"sati, the fisherman's son","Sāti, the Fisherman's Son",Sāti the Fisherman's Son,likely_missing_alias_for_existing,6
PERSON,sela,Sela,,likely_missing_canonical_entity,6
PERSON,sudassana,Sudassana,,likely_missing_canonical_entity,6
PERSON,udaya,Udaya,,likely_missing_canonical_entity,6
PERSON,upavana,Ven. Upavana,,likely_missing_canonical_entity,6
PERSON,vasettha,Vasettha,,likely_missing_canonical_entity,6
GPE,saavatthii,Saavatthii,,likely_missing_canonical_entity,5
LOC,capala shrine,Capala shrine,,likely_missing_canonical_entity,5
LOC,ghosita's monastery,Ghosita's monastery,,likely_missing_canonical_entity,5
LOC,kukuta river,Kukuṭa River,,likely_missing_canonical_entity,5
LOC,mount meru,Mount Meru,,likely_missing_canonical_entity,5
LOC,paranimmitavasavatti,Paranimmitavasavatti,,likely_missing_canonical_entity,5
LOC,sankheyyaka mountain,Sankheyyaka Mountain,,likely_missing_canonical_entity,5
LOC,supreme,Supreme,,likely_missing_canonical_entity,5
LOC,tathagatha,Tathagatha,,likely_missing_canonical_entity,5
LOC,tusita,Tusita,,likely_missing_canonical_entity,5
LOC,vultures' peak,Vultures' Peak,Vulture Peak Mountain,likely_missing_alias_for_existing,5
PERSON,bhadda,Bhadda,,likely_missing_canonical_entity,5
PERSON,devala,Devala,,likely_missing_canonical_entity,5
PERSON,enlightened one,Enlightened One,,likely_missing_canonical_entity,5
PERSON,kalama,Kalama,,likely_missing_canonical_entity,5
PERSON,lord gotama,Lord Gotama,,likely_missing_canonical_entity,5
PERSON,mahaanaama,Mahaanaama,,likely_missing_canonical_entity,5
PERSON,nalanda,Nalanda,,likely_missing_canonical_entity,5
PERSON,nandiya,Nandiya,,likely_missing_canonical_entity,5
PERSON,perfect one,Perfect One,,likely_noise_or_bad_ner,5
PERSON,pilindavaccha,Ven. Pilindavaccha,,likely_missing_canonical_entity,5
PERSON,piyadassi,Piyadassi,,likely_missing_canonical_entity,5
PERSON,prince abhaya,Prince Abhaya,,likely_missing_canonical_entity,5
PERSON,radha,Radha,,likely_missing_canonical_entity,5
PERSON,ratthapala's,Ratthapala's,,likely_missing_canonical_entity,5
PERSON,revata,Revata,,likely_missing_canonical_entity,5
PERSON,rosika,Rosika,,likely_missing_canonical_entity,5
PERSON,saccaka the nigantha,Saccaka the Nigantha,,likely_missing_canonical_entity,5
PERSON,u.n.naabha,U.n.naabha,,likely_missing_canonical_entity,5
PERSON,vesali,Vesālī,,likely_missing_canonical_entity,5
PERSON,vessamitta,Vessamitta,,likely_missing_canonical_entity,5
PERSON,virulha,Virulha,,likely_missing_canonical_entity,5
PERSON,yasoja,Ven. Yasoja,,likely_missing_canonical_entity,5
GPE,licchavin,Licchavin,,likely_missing_canonical_entity,4
GPE,rosika,Rosika,,likely_missing_canonical_entity,4
GPE,thuna,Thuna,,likely_missing_canonical_entity,4
GPE,yama,Yama,,likely_missing_canonical_entity,4
LOC,ambapali's grove,Ambapali's grove,,likely_missing_canonical_entity,4
LOC,brick hall,Brick Hall,,likely_missing_canonical_entity,4
LOC,dakkhinagiri,Dakkhinagiri,,likely_missing_canonical_entity,4
