label	surface	norm	source_file	source_kind	count_hint
NORP	Devas	devas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Devata	devata	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Dhammadinna	dhammadinna	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Dhammadinna the nun	dhammadinna the nun	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Dhanañjanin	dhanañjanin	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Dhaniya	dhaniya	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Dharani	dharani	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	lake Dharani	lake dharani	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Dhatarattha	dhatarattha	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Dhavajalika	dhavajalika	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Dhotaka	dhotaka	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Dighajanu	dighajanu	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Dona	dona	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Eastern clime	eastern clime	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Ekanala	ekanala	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Erapathas	erapathas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Four Great King devas	four great king devas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Four Great Kings	four great kings	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Four Kings	four kings	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Fully Enlightened Ones	fully enlightened ones	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Gabled Hall	gabled hall	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Gaggara Lake	gaggara lake	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Gandhabba	gandhabba	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Gandhara	gandhara	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Gandharapura	gandharapura	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Ganges	ganges	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Gavesin	gavesin	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Gayā	gayā	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Gaya	gaya	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
LOC	Gayā Head	gayā head	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Ghandhabbas	ghandhabbas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Giribbaja	giribbaja	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Goatherd's Banyan Tree	goatherd's banyan tree	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Gotamaka Shrine	gotamaka shrine	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Gotamaka	gotamaka	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
LOC	Great Forest	great forest	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Mahavana	mahavana	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
LOC	Great Wood	great wood	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
NORP	Great Forty	great forty	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Grove of the Blind	grove of the blind	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Blind Men's Grove	blind men's grove	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
LOC	Blind Man's Grove	blind man's grove	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
GPE	Haliddavasana	haliddavasana	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Hall of the Gabled Pavilion	hall of the gabled pavilion	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Hatthaka of Alavi	hatthaka of alavi	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Hatthigama	hatthigama	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	High Divinity	high divinity	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	World of High Divinity	world of high divinity	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
LOC	Himalayan district	himalayan district	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Himalayas	himalayas	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Hinga	hinga	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Hingu	hingu	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
LOC	Hiraññavati River	hiraññavati river	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Hot Springs	hot springs	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Householder	householder	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Householders	householders	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
