              bucket               | label  |              norm               |         example_surface         |    suggested_canonical    | freq |                                                                                                                                                   sample_refs                                                                                                                                                    
 likely_missing_canonical_entity   | LOC    | gunda forest                    | Gunda Forest                    |                           |    1 | an02.038.than.html:1
 likely_missing_canonical_entity   | LOC    | hirannavati                     | Hiraññavati                     | Hiraññavati River                          |    1 | dn.16.1-6.vaji.html:1
 likely_missing_canonical_entity   | LOC    | inspiration peak                | Inspiration Peak                |                           |    1 | sn56.042.than.html:3
 likely_missing_canonical_entity   | LOC    | isipatana                       | Isipatana                       |                           |    3 | mn.141.piya.html:39, mn.141.piya.html:8, sn22.059.mend.html:1
 likely_missing_canonical_entity   | LOC    | jeta forest                     | Jeta Forest                     |                           |    2 | sn12.061.niza.html:1, ud.7.05.niza.html:3
 likely_missing_canonical_entity   | LOC    | jivaka's                        | Jivaka's                        |                           |    1 | thig.14.01.than.html:147
 likely_missing_canonical_entity   | LOC    | jujube tree park                | Jujube Tree Park                |                           |    1 | sn22.089.than.html:1
 likely_missing_canonical_entity   | LOC    | kukkata monastery               | Kukkata Monastery               |                           |    2 | an11.017.than.html:1, mn.052.than.html:1
 likely_missing_canonical_entity   | LOC    | mahisavatthu                    | Mahisavatthu                    |  Water Buffalo Ground                         |    1 | an08.008.than.html:3
 likely_missing_canonical_entity   | LOC    | makuta-bandhana                 | Makuta-bandhana                 |  Mallans' memorial called Makuta-bandhana                         |    6 | dn.16.1-6.vaji.html:23, dn.16.1-6.vaji.html:25, dn.16.1-6.vaji.html:30, dn.16.5-6.than.html:112, dn.16.5-6.than.html:114, dn.16.5-6.than.html:131
 likely_missing_canonical_entity   | LOC    | mango grove                     | Mango Grove                     |                           |    1 | dn.16.1-6.vaji.html:53
 likely_missing_canonical_entity   | LOC    | mango orchard                   | Mango Orchard                   |                           |    1 | ud.2.10.irel.html:2
 likely_missing_canonical_entity   | LOC    | mango stone                     | Mango Stone                     |                           |    1 | mn.061.than.html:2
 likely_missing_canonical_entity   | LOC    | matanga wilds                   | Matanga wilds                   |                           |    2 | dhp.23.than.html:329, dhp.23.than.html:330
 likely_missing_canonical_entity   | LOC    | migacira pleasure garden        | Migacira pleasure garden        |                           |    1 | mn.082.than.html:62
 likely_missing_canonical_entity   | LOC    | mount meru's summit             | Mount Meru's summit             |                           |    1 | snp.3.11.than.html:4
 likely_missing_canonical_entity   | LOC    | mount pandava                   | Mount Pandava                   |                           |    2 | snp.3.01.than.html:7, snp.3.01.than.html:8
 likely_missing_canonical_entity   | LOC    | mount sata                      | Mount Sata                      |                           |    1 | dn.20.0.than.html:8
 likely_missing_canonical_entity   | LOC    | mount sineru                    | Mount Sineru                    |                           |    1 | thig.14.01.than.html:3
 likely_missing_canonical_entity   | LOC    | mount vulture peak              | Mount Vulture Peak              |                           |    1 | thig.05.09.hekh.html:1
 likely_missing_canonical_entity   | LOC    | mucalinda tree                  | Mucalinda Tree                  |                           |    1 | ud.2.01.irel.html:2
 likely_missing_canonical_entity   | LOC    | nigrodha park                   | Nigrodha Park                   |                           |    1 | an08.025.kuma.html:1
 likely_missing_canonical_entity   | LOC    | niraya -hell                    | Niraya -hell                    |                           |    2 | snp.2.06.irel.html:1, snp.2.10.irel.html:3
 likely_missing_canonical_entity   | LOC    | niraya hell                     | Niraya hell                     |                           |    1 | mn.125.horn.html:33
 likely_missing_canonical_entity   | LOC    | northern clime                  | Northern clime                  |                           |    1 | dn.20.0.piya.html:25
 likely_missing_canonical_entity   | LOC    | osprey's haunt                  | Osprey's Haunt                  |                           |    1 | sn22.003.than.html:3
 likely_missing_canonical_entity   | LOC    | palace of brahma                | palace of Brahmā                |                           |    1 | dn.01.0.bodh.html:41
 likely_missing_canonical_entity   | LOC    | paranimmita-vasavatti           | Paranimmita-vasavatti           |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | paranimmitavasavatti            | Paranimmitavasavatti            |                           |    2 | dn.11.0.than.html:111, dn.11.0.than.html:112
 likely_missing_canonical_entity   | LOC    | parittabha                      | Parittabha                      |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | parittasubha                    | Parittasubha                    |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | payaga                          | Payaga                          |                           |    1 | mn.007.nypo.html:12
 likely_missing_canonical_entity   | LOC    | peaked pavilion                 | Peaked Pavilion                 |                           |    1 | mn.105.than.html:1
 likely_missing_canonical_entity   | LOC    | peaked roof hall                | Peaked Roof Hall                |                           |    1 | an08.053.than.html:1
 likely_missing_canonical_entity   | LOC    | pepper tree cave                | Pepper Tree Cave                |                           |    1 | sn46.014.than.html:1
 likely_missing_canonical_entity   | LOC    | pigeon cave                     | Pigeon Cave                     |                           |    1 | ud.4.04.than.html:2
 likely_missing_canonical_entity   | LOC    | piyadassi                       | Piyadassi                       |                           |    2 | khp.1-9.than.html:6, mn.116.piya.html:17
 likely_missing_canonical_entity   | LOC    | plum-mango grove                | Plum-Mango Grove                |                           |    1 | sn41.005.niza.html:9
 likely_missing_canonical_entity   | LOC    | realm of the thirty-three       | Realm of the Thirty-three       |                           |    1 | mn.041.nymo.html:19
 likely_missing_canonical_entity   | LOC    | river hirannavati               | river Hiraññavati               |                           |    1 | dn.16.1-6.vaji.html:2
 likely_missing_canonical_entity   | LOC    | river kimikala                  | river Kimikala                  |                           |    2 | ud.4.01.irel.html:4, ud.4.01.irel.html:5
 likely_missing_canonical_entity   | LOC    | river yamuna                    | River Yamuna                    |                           |    1 | dn.20.0.than.html:38
 likely_missing_canonical_entity   | LOC    | sal tree                        | Sal Tree                        |                           |    2 | sn22.081.than.html:4, sn22.081.than.html:6
 likely_missing_canonical_entity   | LOC    | sal tree grove                  | Sal Tree Grove                  |                           |    1 | sn06.015.than.html:5
 likely_missing_canonical_entity   | LOC    | samandakani                     | Sāmaṇḍakāni                     |                           |    2 | an10.065.niza.html:1, an10.066.niza.html:1
 likely_missing_canonical_entity   | LOC    | sarabhu                         | Sarabhu                         |                           |    4 | an10.015.than.html:10, ud.5.05.irel.html:4, ud.5.05.than.html:14, ud.5.05.than.html:24
 likely_missing_canonical_entity   | LOC    | sarasvati                       | Sarasvati                       |                           |    1 | thag.19.00.khan.html:1
 likely_missing_canonical_entity   | LOC    | sayha                           | Sayha                           |                           |    1 | mn.116.piya.html:25
 likely_missing_canonical_entity   | LOC    | setabya                         | Setabya                         |                           |    1 | an04.036.than.html:3
 likely_missing_canonical_entity   | LOC    | sheer-face peak                 | Sheer-face Peak                 |                           |    1 | sn22.003.than.html:3
 likely_missing_canonical_entity   | LOC    | simbali forest                  | Simbali Forest                  |                           |    1 | mn.130.than.html:56
 likely_missing_canonical_entity   | LOC    | squirrels' refuge               | Squirrels' refuge               |                           |    2 | ud.3.06.than.html:2, ud.5.08.than.html:2
 likely_missing_canonical_entity   | LOC    | subhakinna                      | Subhakinna                      |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | sudassa                         | Sudassa                         |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | sudassana                       | Sudassana                       |                           |    1 | mn.116.piya.html:17
 likely_missing_canonical_entity   | LOC    | sudassi                         | Sudassi                         |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | sundarika                       | Sundarika                       |                           |    1 | mn.007.nypo.html:12
 likely_missing_canonical_entity   | LOC    | super manusas                   | Super Manusas                   |                           |    1 | dn.20.0.than.html:70
 likely_missing_canonical_entity   | LOC    | sword-leaf forest               | Sword-leaf Forest               |                           |    2 | mn.130.than.html:56, mn.130.than.html:57
 likely_missing_canonical_entity   | LOC    | tandulapala gate                | Tandulapala Gate                |                           |    1 | mn.097.than.html:5
 likely_missing_canonical_entity   | LOC    | tusita                          | Tusita                          |  Heaven                          |    3 | dn.20.0.piya.html:56, sn56.011.piya.html:17, ud.5.02.than.html:2
 likely_missing_canonical_entity   | PERSON | abhassara                       | Ābhassara                       |                           |    2 | dn.01.0.bodh.html:40, dn.01.0.bodh.html:41
 likely_missing_canonical_entity   | PERSON | accuta                          | Accuta                          |                           |    2 | dn.20.0.piya.html:48, mn.116.piya.html:24
 likely_missing_canonical_entity   | PERSON | aggikabharadvaja                | Aggikabharadvaja                |                           |    2 | snp.1.07.piya.html:2, snp.1.07.piya.html:28
 likely_missing_canonical_entity   | PERSON | ajakalapaka                     | Ajakalāpaka                     |                           |    2 | ud.1.07.than.html:2, ud.1.07.than.html:3
 likely_missing_canonical_entity   | PERSON | amaravati                       | Amaravati                       |                           |    2 | khp.1-9.than.html:10, khp.1-9x.piya.html:10
 likely_missing_canonical_entity   | PERSON | anna-kondanna                   | Añña-Kondañña                   |                           |    2 | sn56.011.nymo.html:17, sn56.011.than.html:16
 likely_missing_canonical_entity   | PERSON | araka                           | Araka                           |                           |    2 | an07.070.than.html:1, an07.070.than.html:9
 likely_missing_canonical_entity   | PERSON | asama                           | Asama                           |                           |    2 | dn.20.0.piya.html:43, dn.20.0.than.html:56
 likely_missing_canonical_entity   | PERSON | atula                           | Atula                           |                           |    3 | dhp.17.budd.html:1, dhp.17.budd.html:227, dhp.17.than.html:227
 likely_missing_canonical_entity   | PERSON | bali                            | Bali                            |                           |    2 | dn.20.0.piya.html:39, dn.20.0.than.html:50
 likely_missing_canonical_entity   | PERSON | bhaaradvaaja brahman            | Bhaaradvaaja Brahman            |                           |    2 | sn07.001.wlsh.html:3, sn07.001.wlsh.html:9
