person_name,aliases,ref,verse_count
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 1.9,3
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 10.11,2
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 103.6,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 105.3,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 108.10,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 111.4,6
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 114.5,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 118.10,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 12.11,6
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 121.5,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 123.3,3
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 123.4,4
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 125.4,4
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 126.3,4
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 129.5,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 13.11,6
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 13.6,6
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 13.8,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 13.9,14
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 134.3,6
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 14.8,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 140.5,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 15.10,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 15.3,2
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 159.4,2
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 159.5,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 16.11,2
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 16.6,8
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 17.11,4
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 175.5,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 176.10,4
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 176.5,3
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 177.10,7
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 179.5,4
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 18.11,2
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 18.2,3
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 180.5,8
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 183.4,3
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 184.4,3
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 19.6,13
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 196.5,12
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 199.4,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 2.5,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 2.8,4
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 20.10,3
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 20.6,2
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 20.9,8
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 21.7,2
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 22.3,2
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 23.2,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 23.8,5
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 24.4,4
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 24.8,3
