 label |                  entity                  | cnt 
! LOC   | Sakya clan                               |   1
 LOC   | Sal Tree Grove                           |   1
 LOC   | Sarandada shrine                         |   1
 LOC   | Sarasvati                                |   1
 LOC   | Sata's mountain                          |   1
 LOC   | Sattapanni Cave                          |   1
 LOC   | Sayha                                    |   1
 LOC   | Serpents' Pool                           |   1
 LOC   | Sheer-face Peak                          |   1
 LOC   | Small Nook                               |   1
 LOC   | Squirrel's Sanctuary                     |   1
 LOC   | Squirrels' Feeding Ground                |   1
 LOC   | Squirrels' Feeding Sanctuary             |   1
 LOC   | Squirrels' Feeding-Place                 |   1
 LOC   | Squirrels' Feeding-ground                |   1
 LOC   | Squirrels' feeding ground                |   1
 LOC   | Squirrels' sanctuary                     |   1
 LOC   | Subhakinha                               |   1
 LOC   | Suddhavasa                               |   1
! LOC   | Sugata [                                 |   1
 LOC   | Sunaparanta country                      |   1
 LOC   | Sword-leaf                               |   1
 LOC   | Tapoda Grove                             |   1
 LOC   | Tathaagata are moderately                |   1
 LOC   | Thirty-Three                             |   1
 LOC   | Triple Gem                               |   1
! LOC   | True Nature of                           |   1
 LOC   | Tushita heaven                           |   1
 LOC   | Tusita heaven                            |   1
! LOC   | Twelve Sense-Bases                       |   1
 LOC   | Tāvatiṃsa                                |   1
! LOC   | Unmade                                   |   1
 LOC   | Upakala                                  |   1
 LOC   | Vajji                                    |   1
 LOC   | Vajji country                            |   1
 LOC   | Vebhara Mountain                         |   1
 LOC   | Vebhara mountain                         |   1
 LOC   | Vepulla mountain                         |   1
 LOC   | Vepulla's Mountain                       |   1
 LOC   | Verambha wind                            |   1
 LOC   | Very Blessed Grove                       |   1
 LOC   | Very Fruitful                            |   1
 LOC   | Vessamitta mountain                      |   1
 LOC   | Vettha Island                            |   1
 LOC   | Vipassi                                  |   1
 LOC   | Vulture Peak mountain                    |   1
 LOC   | Vultures Peak                            |   1
 LOC   | Western Direction                        |   1
 LOC   | Western clime                            |   1
 LOC   | World of High Divinity                   |   1
 LOC   | Yana                                     |   1
 LOC   | brahma-world                             |   1
 LOC   | deer park                                |   1
 LOC   | deva world                               |   1
 LOC   | heaven world                             |   1
 LOC   | heaven worlds                            |   1
 LOC   | lake Nabhasa                             |   1
 LOC   | northern country                         |   1
 LOC   | pure abodes                              |   1
 LOC   | river Hiraññavati                        |   1
 LOC   | squirrels' feeding ground                |   1
 LOC   | squirrels' feeding place                 |   1
 LOC   | Ābhassara Brahma-world                   |   1
(334 rows)

