 PERSON | one self-awakened          | One Self-awakened          |    4
 PERSON | pancalacanda               | Pañcalacanda               |    4
 PERSON | pataliputta                | Pataliputta                |    4
 PERSON | phagguna                   | Phagguna                   |    4
 PERSON | princess vajiri            | Princess Vajiri            |    4
 PERSON | radha                      | Radha                      |    4
 PERSON | saariputta                 | Saariputta                 |    4
 PERSON | samanas                    | Samanas                    |    4
 PERSON | sangaarava                 | Sangaarava                 |    4
 PERSON | sirima                     | Sirima                     |    4
 PERSON | sumangala                  | Sumangala                  |    4
 PERSON | sundarika bharadvaja       | Sundarika Bharadvaja       |    4
 PERSON | taayana                    | Taayana                    |    4
 PERSON | tapussa                    | Tapussa                    |    4
 PERSON | todeyya                    | Todeyya                    |    4
 PERSON | ugga                       | Ugga                       |    4
 PERSON | upaka                      | Upaka                      |    4
 PERSON | ven. adhimutta             | Ven. Adhimutta             |    4
 PERSON | ven. bharadvaja            | Ven. Bharadvaja            |    4
 PERSON | ven. pavittha              | Ven. Pavittha              |    4
 PERSON | ven. revata                | Ven. Revata                |    4
 PERSON | ven. susima                | Ven. Susima                |    4
 PERSON | ven. vangisa               | Ven. Vangisa               |    4
 PERSON | venerable pingiya          | Venerable Pingiya          |    4
 PERSON | venerable udaayii          | Venerable Udaayii          |    4
 PERSON | vepacitta                  | Vepacitta                  |    4
 PERSON | verahaccaani               | Verahaccaani               |    4
! PERSON | wanderer                   | Wanderer                   |    4 -- Nah, too vague
 GPE    | beluva                     | Beluva                     |    3
! GPE    | cala                       | Cala                       |    3, Should be PERSON, Bhikkhuni Cala
 GPE    | jetavana                   | Jetavana                   |    3
 GPE    | nibbana                    | Nibbana                    |    3
 GPE    | palileyyaka                | Palileyyaka                |    3
 LOC    | gabled pavilion            | Gabled Pavilion            |    3
 LOC    | kakuttha river             | Kakuttha River             |    3
 LOC    | kosalan country            | Kosalan country            |    3
 LOC    | nigrodha's park            | Nigrodha's Park            |    3
 LOC    | patali village             | Pāṭali Village             |    3
 LOC    | peaked roof pavilion       | Peaked Roof Pavilion       |    3
 LOC    | pipphali cave              | Pipphali Cave              |    3
 LOC    | rains                      | Rains                      |    3
 LOC    | squirrels' feeding ground  | Squirrels' Feeding Ground  |    3
 LOC    | squirrels' feeding place   | Squirrels' Feeding Place   |    3
 LOC    | tapoda monastery           | Tapoda monastery           |    3
 LOC    | vulture's peak mountain    | Vulture's Peak Mountain    |    3
 NORP   | deva hosts                 | deva hosts                 |    3
