 label  |             norm             |       example_surface        | freq 
 PERSON | piyadassi                    | Piyadassi                    |    5
 LOC    | capala shrine                | Capala shrine                |    5
 LOC    | mount meru                   | Mount Meru                   |    5
 PERSON | bhadda                       | Bhadda                       |    5
 PERSON | saccaka the nigantha         | Saccaka the Nigantha         |    5
 PERSON | mahaanaama                   | Mahaanaama                   |    5
 PERSON | u.n.naabha                   | U.n.naabha                   |    5
 PERSON | lord gotama                  | Lord Gotama                  |    5
 LOC    | kukuta river                 | Kukuṭa River                 |    5
 PERSON | ratthapala's                 | Ratthapala's                 |    5
 PERSON | rosika                       | Rosika                       |    5
 PERSON | revata                       | Revata                       |    5
 LOC    | vultures' peak               | Vultures' Peak               |    5
 PERSON | radha                        | Radha                        |    5
 LOC    | tusita                       | Tusita                       |    5
 LOC    | tathagatha                   | Tathagatha                   |    5
 LOC    | supreme                      | Supreme                      |    5
 PERSON | kalama                       | Kalama                       |    5
 LOC    | sankheyyaka mountain         | Sankheyyaka Mountain         |    5
 LOC    | paranimmitavasavatti         | Paranimmitavasavatti         |    5
 PERSON | prince abhaya                | Prince Abhaya                |    5
 PERSON | yasoja                       | Ven. Yasoja                  |    5
(200 rows)

