label,id,pattern_text,pattern_json
NORP,,brahman cosmologists,"[{""LOWER"": ""brahman""}, {""LOWER"": ""cosmologists""}]"
GPE,,savatthi/sāvatthī,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""savatthi"", ""sāvatthī""]}}]"
GPE,,rajagaha/rājagaha,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""rajagaha"", ""rājagaha""]}}]"
GPE,,kosambi/kosambī,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""kosambi"", ""kosambī""]}}]"
GPE,,veluvagamaka,"[{""IS_TITLE"": true, ""LOWER"": ""veluvagamaka""}]"
GPE,,sanjatiya,"[{""IS_TITLE"": true, ""LOWER"": ""sanjatiya""}]"
GPE,,kammasadhamma,"[{""IS_TITLE"": true, ""LOWER"": ""kammasadhamma""}]"
GPE,,sahajati,"[{""IS_TITLE"": true, ""LOWER"": ""sahajati""}]"
GPE,,vesali/vesālī,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""vesali"", ""vesālī""]}}]"
GPE,,atthakanagara,"[{""IS_TITLE"": true, ""LOWER"": ""atthakanagara""}]"
GPE,,kapilavatthu,"[{""IS_TITLE"": true, ""LOWER"": ""kapilavatthu""}]"
GPE,,kammasadhamma,"[{""IS_TITLE"": true, ""LOWER"": ""kammasadhamma""}]"
GPE,,pataliputta/pāṭaliputta,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""pataliputta"", ""pāṭaliputta""]}}]"
GPE,,nalanda/nālandā,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""nalanda"", ""nālandā""]}}]"
GPE,,benares/varanasi/vāraṇasī,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""benares"", ""varanasi"", ""vāraṇasī""]}}]"
GPE,,assapura,"[{""IS_TITLE"": true, ""LOWER"": ""assapura""}]"
GPE,,icchanangala,"[{""IS_TITLE"": true, ""LOWER"": ""icchanangala""}]"
GPE,,magadha,"[{""IS_TITLE"": true, ""LOWER"": ""magadha""}]"
GPE,,isipatana,"[{""IS_TITLE"": true, ""LOWER"": ""isipatana""}]"
GPE,,giribbaja/girivraja,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""giribbaja"", ""girivraja""]}}]"
GPE,,saketa,"[{""IS_TITLE"": true, ""LOWER"": ""saketa""}]"
GPE,,sedaka,"[{""IS_TITLE"": true, ""LOWER"": ""sedaka""}]"
GPE,,salavatika,"[{""IS_TITLE"": true, ""LOWER"": ""salavatika""}]"
GPE,,vebhara/pandava/vepulla/gijjhakuta/isigili mountain,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""vebhara"", ""pandava"", ""vepulla"", ""gijjhakuta"", ""isigili""]}}, {""LOWER"": ""mountain""}]"
GPE,,haliddavasana,"[{""IS_TITLE"": true, ""LOWER"": ""haliddavasana""}]"
LOC,,bamboo grove,"[{""LOWER"": ""bamboo grove""}]"
LOC,,gotamaka shrine,"[{""LOWER"": ""gotamaka shrine""}]"
LOC,,bamboo park,"[{""LOWER"": ""bamboo park""}]"
LOC,,banyan grove,"[{""LOWER"": ""banyan grove""}]"
LOC,,banyan park,"[{""LOWER"": ""banyan park""}]"
LOC,,bhesakala grove,"[{""LOWER"": ""bhesakala grove""}]"
LOC,,blind man's grove,"[{""LOWER"": ""blind man's grove""}]"
LOC,,gijjhakūṭa,"[{""LOWER"": ""gijjhakūṭa""}]"
LOC,,gosingasālavana,"[{""LOWER"": ""gosingasālavana""}]"
LOC,,hiraññavati river,"[{""LOWER"": ""hiraññavati river""}]"
LOC,,kalandaka nivāpa,"[{""LOWER"": ""kalandaka nivāpa""}]"
LOC,,kukkata monastery,"[{""LOWER"": ""kukkata monastery""}]"
LOC,,kukkutārāma,"[{""LOWER"": ""kukkutārāma""}]"
LOC,,mallans' sal-grove,"[{""LOWER"": ""mallans' sal-grove""}]"
LOC,,pubbārāma,"[{""LOWER"": ""pubbārāma""}]"
LOC,,simsapa grove,"[{""LOWER"": ""simsapa grove""}]"
LOC,,simsapā grove,"[{""LOWER"": ""simsapā grove""}]"
LOC,,sālavana,"[{""LOWER"": ""sālavana""}]"
LOC,,varanasi's deer park,"[{""LOWER"": ""varanasi's deer park""}]"
LOC,,vārāṇasī’s deer park,"[{""LOWER"": ""vārāṇasī’s deer park""}]"
LOC,,wild mango grove,"[{""LOWER"": ""wild mango grove""}]"
LOC,,ambapālivana,"[{""LOWER"": ""ambapālivana""}]"
LOC,,ambapāli’s grove,"[{""LOWER"": ""ambapāli’s""}, {""LOWER"": ""grove""}]"
LOC,,anathapindika 's/’s park/monastery,"[{""LOWER"": ""anathapindika""}, {""LOWER"": {""IN"": [""'s"", ""’s""]}}, {""LOWER"": {""IN"": [""park"", ""monastery""]}}]"
LOC,,anāthapiṇḍika 's/’s park/monastery,"[{""LOWER"": ""anāthapiṇḍika""}, {""LOWER"": {""IN"": [""'s"", ""’s""]}}, {""LOWER"": {""IN"": [""park"", ""monastery""]}}]"
LOC,,bhesakala grove,"[{""LOWER"": ""bhesakala""}, {""LOWER"": ""grove""}]"
LOC,,bhesakaḷāvana,"[{""LOWER"": ""bhesakaḷāvana""}]"
LOC,,catummaharajika,"[{""LOWER"": ""catummaharajika""}]"
LOC,,cāpāla shrine,"[{""LOWER"": ""cāpāla""}, {""LOWER"": ""shrine""}]"
LOC,,deer park at isipatana,"[{""LOWER"": ""deer""}, {""LOWER"": ""park""}, {""LOWER"": ""at""}, {""LOWER"": ""isipatana""}]"
LOC,,isipatana deer park,"[{""LOWER"": ""isipatana""}, {""LOWER"": ""deer""}, {""LOWER"": ""park""}]"
LOC,,ivory grove/park,"[{""LOWER"": ""ivory""}, {""LOWER"": {""IN"": [""grove"", ""park""]}}]"
LOC,,jeta 's/’s grove/park,"[{""LOWER"": ""jeta""}, {""LOWER"": {""IN"": [""'s"", ""’s""]}}, {""LOWER"": {""IN"": [""grove"", ""park""]}}]"
LOC,,jetavana,"[{""LOWER"": ""jetavana""}]"
LOC,,jīvaka’s mango grove,"[{""LOWER"": ""jīvaka’s""}, {""LOWER"": ""mango""}, {""LOWER"": ""grove""}]"
LOC,,migadāya,"[{""LOWER"": ""migadāya""}]"
LOC,,nandavana,"[{""LOWER"": ""nandavana""}]"
LOC,,nigrodhārāma,"[{""LOWER"": ""nigrodhārāma""}]"
LOC,,pigeon cave,"[{""LOWER"": ""pigeon""}, {""LOWER"": ""cave""}]"
LOC,,pipphali cave,"[{""LOWER"": ""pipphali""}, {""LOWER"": ""cave""}]"
LOC,,sītavana,"[{""LOWER"": ""sītavana""}]"
LOC,,tavatimsa,"[{""LOWER"": ""tavatimsa""}]"
LOC,,tusita,"[{""LOWER"": ""tusita""}]"
LOC,,varanasi 's/’s deer park,"[{""LOWER"": ""varanasi""}, {""LOWER"": {""IN"": [""'s"", ""’s""]}}, {""LOWER"": ""deer""}, {""LOWER"": ""park""}]"
LOC,,vediyaka rock,"[{""LOWER"": ""vediyaka""}, {""LOWER"": ""rock""}]"
LOC,,veluvana,"[{""LOWER"": ""veluvana""}]"
LOC,,vārāṇasī 's/’s deer park,"[{""LOWER"": ""vārāṇasī""}, {""LOWER"": {""IN"": [""'s"", ""’s""]}}, {""LOWER"": ""deer""}, {""LOWER"": ""park""}]"
LOC,,"bamboo grove {""IS_PUNCT"": true, ""OP"": ""?""}{?} the squirrels'/squirrels’ sanctuary","[{""LOWER"": ""bamboo""}, {""LOWER"": ""grove""}, {""IS_PUNCT"": true, ""OP"": ""?""}, {""LOWER"": ""the""}, {""LOWER"": {""IN"": [""squirrels'"", ""squirrels’""]}}, {""LOWER"": ""sanctuary""}]"
LOC,,black forest,"[{""LOWER"": ""black""}, {""LOWER"": ""forest""}]"
LOC,,crocodile haunt,"[{""LOWER"": ""crocodile""}, {""LOWER"": ""haunt""}]"
LOC,,deer park,"[{""LOWER"": ""deer""}, {""LOWER"": ""park""}]"
LOC,,game refuge,"[{""LOWER"": ""game""}, {""LOWER"": ""refuge""}]"
LOC,,tapoda hot spring/springs,"[{""LOWER"": ""tapoda""}, {""LOWER"": ""hot""}, {""LOWER"": {""IN"": [""spring"", ""springs""]}}]"
LOC,,tapoda monastery/vihara,"[{""LOWER"": ""tapoda""}, {""LOWER"": {""IN"": [""monastery"", ""vihara""]}}]"
LOC,,the squirrels'/squirrels’ sanctuary,"[{""LOWER"": ""the""}, {""LOWER"": {""IN"": [""squirrels'"", ""squirrels’""]}}, {""LOWER"": ""sanctuary""}]"
LOC,,simsapa/simsapā/bamboo/bhesakala/blind/anathapindika/anāthapiṇḍika/banyan/varanasi/vāraṇasī/deer/eastern/western/nigrodha grove/park/sanctuary/monastery,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""simsapa"", ""simsapā"", ""bamboo"", ""bhesakala"", ""blind"", ""anathapindika"", ""anāthapiṇḍika"", ""banyan"", ""varanasi"", ""vāraṇasī"", ""deer"", ""eastern"", ""western"", ""nigrodha""]}}, {""LOWER"": {""IN"": [""grove"", ""park"", ""sanctuary"", ""monastery""]}}]"
LOC,,"{""IS_TITLE"": true, ""IS_ALPHA"": true} 's/’s grove/park/sanctuary/monastery","[{""IS_TITLE"": true, ""IS_ALPHA"": true}, {""LOWER"": {""IN"": [""'s"", ""’s""]}}, {""LOWER"": {""IN"": [""grove"", ""park"", ""sanctuary"", ""monastery""]}}]"
LOC,,abhassara,"[{""LOWER"": ""abhassara""}]"
LOC,,akanittha,"[{""LOWER"": ""akanittha""}]"
LOC,,anathapindika's park/grove/monastery,"[{""LOWER"": ""anathapindika's""}, {""LOWER"": {""IN"": [""park"", ""grove"", ""monastery""]}}]"
LOC,,anāthapiṇḍika's park/grove/monastery,"[{""LOWER"": ""anāthapiṇḍika's""}, {""LOWER"": {""IN"": [""park"", ""grove"", ""monastery""]}}]"
LOC,,appamana subha,"[{""LOWER"": ""appamana""}, {""LOWER"": ""subha""}]"
LOC,,appamanabha,"[{""LOWER"": ""appamanabha""}]"
LOC,,atappa,"[{""LOWER"": ""atappa""}]"
LOC,,aviha,"[{""LOWER"": ""aviha""}]"
