        identifier        | nikaya | vagga | book_number  |                       title                       |                  subtitle                  
 snp.5.15.than.html       | KN     | Sn    | 5.15         | Mogharaja-manava-puccha                           | Mogharaja's Question
 snp.1.08.budd.html       | KN     | Sn    | 1.8          | Karaniya Metta Sutta                              | The Hymn of Universal Love
 snp.2.01.piya.html       | KN     | Sn    | 2.1          | Ratana Sutta                                      | The Jewel Discourse
 snp.1.08.nymo.html       | KN     | Sn    | 1.8          | Karaniya Metta Sutta                              | Loving-Kindness
 snp.1.04.olen.html       | KN     | Sn    | 1.4          | Kasi Bharadvaja Sutta                             | To the Plowing Bharadvaja
 snp.2.09.than.html       | KN     | Sn    | 2.9          | Kimsila Sutta                                     | With What Virtue?
 snp.5.09.than.html       | KN     | Sn    | 5.9          | Todeyya-manava-puccha                             | Todeyya's Questions
 snp.4.15.olen.html       | KN     | Sn    | 4.15         | Attadanda Sutta                                   | Arming Oneself
 snp.5.15.irel.html       | KN     | Sn    | 5.15         | Mogharaja-manava-puccha                           | Mogharaja's Question
 snp.5.01.irel.html       | KN     | Sn    | 5.1          | Ajita-manava-puccha                               | Ajita's Questions
 snp.5.10.than.html       | KN     | Sn    | 5.10         | Kappa-manava-puccha                               | Kappa's Question
 snp.4.16.than.html       | KN     | Sn    | 4.16         | Sariputta Sutta                                   | To Sariputta
 snp.2.10.than.html       | KN     | Sn    | 2.10         | Utthana Sutta                                     | Initiative
 snp.3.02.than.html       | KN     | Sn    | 3.2          | Padhana Sutta                                     | Exertion
 snp.2.04.than.html       | KN     | Sn    | 2.4          | Maha-mangala Sutta                                | Protection
 snp.4.02.than.html       | KN     | Sn    | 4.2          | Guhatthaka Sutta                                  | The Cave of the Body
 snp.5.04.than.html       | KN     | Sn    | 5.4          | Mettagu-manava-puccha                             | Mettagu's Questions
 snp.4.09.than.html       | KN     | Sn    | 4.9          | Magandiya Sutta                                   | To Magandiya
 snp.1.04.piya.html       | KN     | Sn    | 1.4          | Kasi Bharadvaja Sutta                             | Discourse to Bharadvaja, the Farmer
 snp.1.10.piya.html       | KN     | Sn    | 1.10         | Alavaka Sutta                                     | Discourse to Alavaka
 snp.1.06.nara.html       | KN     | Sn    | 1.6          | Parabhava Sutta                                   | Downfall
 snp.5.16.than.html       | KN     | Sn    | 5.16         | Pingiya-manava-puccha                             | Pingiya's Question
 snp.4.10.than.html       | KN     | Sn    | 4.10         | Purabheda Sutta                                   | Before the Break-up of the Body
 snp.4.04.than.html       | KN     | Sn    | 4.4          | Suddhatthaka Sutta                                | Pure
 snp.5.02.than.html       | KN     | Sn    | 5.2          | Tissa-metteyya-manava-puccha                      | Tissa-metteyya's Questions
 snp.1.01.than.html       | KN     | Sn    | 1.1          | Uraga Sutta                                       | The Snake
 snp.4.15.irel.html       | KN     | Sn    | 4.15         | Attadanda Sutta                                   | The Training
 snp.2.08.than.html       | KN     | Sn    | 2.8          | Nava Sutta                                        | A Boat
 snp.5.08.than.html       | KN     | Sn    | 5.8          | Hemaka-manava-puccha                              | Hemaka's Question
 snp.4.06.irel.html       | KN     | Sn    | 4.6          | Jara Sutta                                        | On Decay
 snp.3.12.irel.html       | KN     | Sn    | 3.12         | Dvayatanupassana Sutta                            | The Noble One's Happiness
 snp.2.14.irel.html       | KN     | Sn    | 2.14         | Dhammika Sutta                                    | Dhammika
 snp.3.03.than.html       | KN     | Sn    | 3.3          | Subhasita Sutta                                   | Well-Spoken
 snp.4.03.than.html       | KN     | Sn    | 4.3          | Dutthatthaka Sutta                                | Corrupted
 snp.5.05.than.html       | KN     | Sn    | 5.5          | Dhotaka-manava-puccha                             | Dhotaka's Questions
 snp.5.11.than.html       | KN     | Sn    | 5.11         | Jatukanni-manava-puccha                           | Jatukannin's Question
 miln.3x.kell.html        | KN     | Miln  | 3            | Questions on Distinguishing Characteristics       | 
 snp.1.12.than.html       | KN     | Sn    | 1.12         | Muni Sutta                                        | The Sage
 snp.4.08.than.html       | KN     | Sn    | 4.8          | Pasura Sutta                                      | To Pasura
 snp.3.12.olen.html       | KN     | Sn    | 3.12         | Dvayatanupassana Sutta                            | A Teaching Hard to Know
 snp.3.08.than.html       | KN     | Sn    | 3.8          | Salla Sutta                                       | The Arrow
 snp.4.05.than.html       | KN     | Sn    | 4.5          | Paramatthaka Sutta                                | Supreme
 snp.5.03.than.html       | KN     | Sn    | 5.3          | Punnaka-manava-puccha                             | Punnaka's Questions
 snp.2.03.than.html       | KN     | Sn    | 2.3          | Hiri Sutta                                        | Conscience
 snp.3.11.than.html       | KN     | Sn    | 3.11         | Nalaka Sutta                                      | To Nalaka
 snp.2.04.nara.html       | KN     | Sn    | 2.4          | Maha-mangala Sutta                                | Blessings
 snp.4.11.than.html       | KN     | Sn    | 4.11         | Kalaha-vivada Sutta                               | Quarrels & Disputes
 snp.2.06.irel.html       | KN     | Sn    | 2.6          | Dhammacariya Sutta                                | Wrong Conduct
 snp.1.08.piya.html       | KN     | Sn    | 1.8          | Karaniya Metta Sutta                              | The Discourse on Loving-kindness
 nm.2.04.olen.html        | KN     | Nm    | 2.4          | Guhatthaka-suttaniddeso                           | Upon the Tip of a Needle
 thig.05.09.hekh.html     | KN     | Thig  | 5.9          | Bhadda Kundalakesa                                | The Former Jain Ascetic
 thig.05.10.hekh.html     | KN     | Thig  | 5.10         | Patacara                                          | Preserver of the Vinaya
 thig.06.07.than.html     | KN     | Thig  | 6.7          | Gutta                                             | 
 thig.05.04.than.html     | KN     | Thig  | 5.4          | Nanda                                             | Nanda's Vision
 thig.03.02.than.html     | KN     | Thig  | 3.2          | Uttama                                            | 
 thig.05.10.than.html     | KN     | Thig  | 5.10         | Patacara                                          | 
 thig.05.04.hekh.html     | KN     | Thig  | 5.4          | Nanda                                             | Nanda's Vision
 thig.12.01.than.html     | KN     | Thig  | 12.1         | Punnika                                           | Punnika and the Brahman
 thig.13.01.than.html     | KN     | Thig  | 13.1         | Ambapali                                          | 
 thig.14.01.than.html     | KN     | Thig  | 14.1         | Subha Jivakambavanika                             | Subha and the Libertine
 thig.03.04.than.html     | KN     | Thig  | 3.4          | Dantika and the Elephant                          | 
 thig.06.01.than.html     | KN     | Thig  | 6.1          | Pañcasata Patacara                                | Patacara's 500 Students
 thig.05.02.than.html     | KN     | Thig  | 5.2          | Vimala                                            | The Former Courtesan
 thig.05.08.hekh.html     | KN     | Thig  | 5.8          | Sona                                              | With Many Children
 thig.05.08.than.html     | KN     | Thig  | 5.8          | Sona                                              | Mother of Ten
 thig.05.11.than.html     | KN     | Thig  | 5.11         | Patacara's Thirty Students                        | 
 thig.05.11.hekh.html     | KN     | Thig  | 5.11         | Patacara's Thirty Students                        | 
 thig.01.00x.than.html    | KN     | Thig  | 1            | Chapter 1                                         | The Single Verses
 thig.03.05.than.html     | KN     | Thig  | 3            | Ubbiri                                            | Groups of Three Verses
 thig.02.03.than.html     | KN     | Thig  | 2            | Chapter 2                                         | Pairs of Verses
 thig.06.06.olen.html     | KN     | Thig  | 6.6          | Maha Pajapati (Gotami) Theri                      | A Mother's Blessing
 thig.13.05.than.html     | KN     | Thig  | 13.5         | Subha                                             | The Goldsmith's Daughter
 thig.05.06.than.html     | KN     | Thig  | 5.6          | Mittakali                                         | 
 thig.06.05.than.html     | KN     | Thig  | 6.5          | Anopama, the Millionaire's Daughter               | 
 thig.05.12.than.html     | KN     | Thig  | 5.12         | Canda                                             | The Beggar
 thig.04.01.hekh.html     | KN     | Thig  | 4.1          | Bhadda Kapilani                                   | 
 thig.06.04.hekh.html     | KN     | Thig  | 6.4          | The Verses of Final Knowledge of Bhikkhuni Sujata | 
 thig.06.01.olen.html     | KN     | Thig  | 6.1          | Pañcasata Patacara                                | The Soothing of Grief
 thig.03.04.rhyc.html     | KN     | Thig  | 3.4          | Dantika and the Elephant                          | 
 thig.06.02.than.html     | KN     | Thig  | 6.2          | Vasitthi the Madwoman                             | 
 thig.10.01.hekh.html     | KN     | Thig  | 10           | Kisagotami Theri                                  | The Woman with the Dead Child
 thig.13.02.than.html     | KN     | Thig  | 13.2         | Rohini                                            | 
 thig.10.01.than.html     | KN     | Thig  | 10           | Kisagotami Theri                                  | 
 dhp.18.than.html         | KN     | Dhp   | XVIII        | Malavagga                                         | Impurities
 dhp.15.than.html         | KN     | Dhp   | XV           | Sukhavagga                                        | Happy
 dhp.01.than.html         | KN     | Dhp   | I            | Yamakavagga                                       | Pairs
 dhp.22.budd.html         | KN     | Dhp   | XXII         | Nirayavagga                                       | Hell
 dhp.03.budd.html         | KN     | Dhp   | III          | Cittavagga                                        | The Mind
 dhp.20.than.html         | KN     | Dhp   | XX           | Maggavagga                                        | The Path
 dhp.17.budd.html         | KN     | Dhp   | XVII         | Kodhavagga                                        | Anger
 dhp.13x.olen.html        | KN     | Dhp   | XIII         | Lokavagga                                         | The World
 dhp.08.budd.html         | KN     | Dhp   | VIII         | Sahassavagga                                      | The Thousands
 dhp.05.budd.html         | KN     | Dhp   | V            | Balavagga                                         | The Fool
 dhp.26.than.html         | KN     | Dhp   | XXVI         | Brahmanavagga                                     | Brahmans
 dhp.11.budd.html         | KN     | Dhp   | XI           | Jaravagga                                         | Old Age
 dhp.01.budd.html         | KN     | Dhp   | I            | Yamakavagga                                       | Pairs
 dhp.13.than.html         | KN     | Dhp   | XIII         | Lokavagga                                         | Worlds
 dhp.07.than.html         | KN     | Dhp   | VII          | Arahantavagga                                     | Arahants
 dhp.24.budd.html         | KN     | Dhp   | XXIV         | Tanhavagga                                        | Craving
 dhp.19.than.html         | KN     | Dhp   | XIX          | Dhammatthavagga                                   | The Judge
 dhp.23.budd.html         | KN     | Dhp   | XXIII        | Nagavagga                                         | The Elephant
 dhp-buddh-than.html      | KN     | Dhp   | Introduction | The Dhammapada                                    | The Buddha's Path of Wisdom
 dhp.14.than.html         | KN     | Dhp   | XIV          | Buddhavagga                                       | Awakened
 dhp.16.budd.html         | KN     | Dhp   | XVI          | Piyavagga                                         | Affection
 dhp.02.budd.html         | KN     | Dhp   | II           | Appamadavagga                                     | Heedfulness
 dhp.21.than.html         | KN     | Dhp   | XXI          | Pakinnakavagga                                    | Miscellany
 dhp.09.budd.html         | KN     | Dhp   | IX           | Papavagga                                         | Evil
 dhp.10.budd.html         | KN     | Dhp   | X            | Dandavagga                                        | Violence
 dhp.04.budd.html         | KN     | Dhp   | IV           | Pupphavagga                                       | Flowers
 dhp.06.than.html         | KN     | Dhp   | VI           | Panditavagga                                      | The Wise
 dhp.25.budd.html         | KN     | Dhp   | XXV          | Bhikkhuvagga                                      | The Monk
 dhp.12.than.html         | KN     | Dhp   | XII          | Attavagga                                         | Self
 dhp.18.budd.html         | KN     | Dhp   | XVIII        | Malavagga                                         | Impurity
 dhp.22.than.html         | KN     | Dhp   | XXII         | Nirayavagga                                       | Hell
 dhp.15.budd.html         | KN     | Dhp   | XV           | Sukhavagga                                        | Happiness
 dhp.17.than.html         | KN     | Dhp   | XVII         | Kodhavagga                                        | Anger
 dhp.03.than.html         | KN     | Dhp   | III          | Cittavagga                                        | The Mind
 dhp.20.budd.html         | KN     | Dhp   | XX           | Maggavagga                                        | The Path
 dhp.08.than.html         | KN     | Dhp   | VIII         | Sahassavagga                                      | Thousands
 dhp.11.than.html         | KN     | Dhp   | XI           | Jaravagga                                         | Aging
 dhp.05.than.html         | KN     | Dhp   | V            | Balavagga                                         | Fools
 dhp.26.budd.html         | KN     | Dhp   | XXVI         | Brahmanavagga                                     | The Holy Man
 dhp.07.budd.html         | KN     | Dhp   | VII          | Arahantavagga                                     | The Arahant or Perfected One
 dhp.24.than.html         | KN     | Dhp   | XXIV         | Tanhavagga                                        | Craving
 dhp.13.budd.html         | KN     | Dhp   | XIII         | Lokavagga                                         | The World
 dhp.19.budd.html         | KN     | Dhp   | XIX          | Dhammatthavagga                                   | The Just
 dhp.14.budd.html         | KN     | Dhp   | XIV          | Buddhavagga                                       | The Buddha
 dhp.23.than.html         | KN     | Dhp   | XXIII        | Nagavagga                                         | Elephants
 dhp.02.than.html         | KN     | Dhp   | II           | Appamadavagga                                     | Heedfulness
