 SN 20.4,Okkha Sutta
 SN 20.5,Satti Sutta
 SN 20.6,Dhanuggaha Sutta
 SN 20.7,Ani Sutta
 SN 21.1,Kolita Sutta
 SN 21.2,Upatissa Sutta
 SN 21.6,Lakuntaka Bhaddiya Sutta
 SN 21.8,Nando Sutta
 SN 21.10,Theranama Sutta
 SN 22.1,Nakulapita Sutta
 SN 22.2,Devadaha Sutta
 SN 22.3,Haliddakani Sutta
 SN 22.5,Samadhi Sutta
 SN 22.7,Upaadaaparitassanaa Sutta
 SN 22.22,Bhāra Sutta
 SN 22.22,Bhāra Sutta
 SN 22.22,Bhāra Sutta
 SN 22.23,Pariñña Sutta
 SN 22.36,Bhikkhu Sutta
 SN 22.39,Anudhamma Sutta
 SN 22.40,Anudhamma Sutta
 SN 22.41,Anudhamma Sutta
 SN 22.42,Anudhamma Sutta
 SN 22.43,Attadiipaa Sutta
 SN 22.47,Samanupassana Sutta
 SN 22.47,Samanupassanaa Sutta
 SN 22.48,Khandha Sutta
 SN 22.49,So.no Sutta
 SN 22.53,Upaya Sutta
 SN 22.54,Bija Sutta
 SN 22.55,Udana Sutta
 SN 22.56,Parivatta Sutta
 SN 22.57,Sattatthana Sutta
 SN 22.58,Buddha Sutta
 SN 22.59,Anatta-lakkhana Sutta
 SN 22.59,Anatta-lakkhana Sutta
 SN 22.59,Pañcavaggi Sutta
 SN 22.60,Mahali Sutta
 SN 22.63,Upaadiyamaano Sutta
 SN 22.79,Khajjaniya Sutta
 SN 22.80,Pindolya Sutta
 SN 22.80,Pi.n.dolya.m Sutta
 SN 22.81,Parileyyaka Sutta
 SN 22.83,Ananda Sutta
 SN 22.84,Tissa Sutta
 SN 22.84,Tisso Sutta
 SN 22.85,Yamaka Sutta
 SN 22.86,Anuradha Sutta
 SN 22.86,Anuraadho Sutta
 SN 22.87,Vakkali Sutta
 SN 22.89,Khemaka Sutta
 SN 22.89,Khemo Sutta
 SN 22.90,Channa Sutta
 SN 22.93,Nadi Sutta
 SN 22.95,Phena Sutta
 SN 22.97,Nakhasikha Sutta
 SN 22.99,Gaddula Sutta
 SN 22.100,Gaddula Sutta
 SN 22.101,Nava Sutta
 SN 22.109,Sotaapanno Sutta
 SN 22.110,Araha.m Sutta
 SN 22.121,Upadana Sutta
 SN 22.122,Silavant Sutta
 SN 23.2,Satta Sutta
 SN 25.1,Cakkhu Sutta
 SN 25.2,Rupa Sutta
 SN 25.3,Viññana Sutta
 SN 25.4,Phassa Sutta
 SN 25.5,Vedana Sutta
 SN 25.6,Sañña Sutta
 SN 25.7,Cetana Sutta
 SN 25.8,Tanha Sutta
 SN 25.9,Dhatu Sutta
 SN 25.10,Khandha Sutta
 SN 27.1-10,Upakkilesa Samyutta
 SN 35.23,Sabba Sutta
 SN 35.24,Pahanaya Sutta
 SN 35.28,Adittapariyaya Sutta
 SN 35.28,Adittapariyaya Sutta
 SN 35.63,Migajala Sutta
 SN 35.63,Migajaalena Sutta
 SN 35.69,Upasena Sutta
 SN 35.74,Gilana Sutta
 SN 35.75,Gilana Sutta
 SN 35.80,Avijja Sutta
 SN 35.82,Loka Sutta
 SN 35.85,Suñña Sutta
 SN 35.88,Punna Sutta
 SN 35.93,Dvaya Sutta
 SN 35.95,Malunkyaputta Sutta
 SN 35.95,Maalunkyaputta Sutta
 SN 35.97,Pamadaviharin Sutta
 SN 35.99,Samadhi Sutta
 SN 35.101,Na Tumhaka Sutta
 SN 35.115,Marapasa Sutta
 SN 35.120,Sariputto Sutta
 SN 35.127,Bharadvaja Sutta
 SN 35.127,Bhaaradvaajo Sutta
 SN 35.132,Lohicco Sutta
 SN 35.133,Verahaccaani Sutta
 SN 35.135,Khana Sutta
 SN 35.145,Kamma Sutta
 SN 35.145,Kamma.m Sutta
 SN 35.152,Atthinukhopariyaayo Sutta
 SN 35.153,Indriya Sutta
 SN 35.187,Samuddo (1) Sutta
 SN 35.189,Balisika Sutta
 SN 35.191,Kotthita Sutta
 SN 35.191,Ko.t.thiko Sutta
 SN 35.193,Udayin Sutta
 SN 35.197,Asivisa Sutta
 SN 35.199,Kumma Sutta
 SN 35.200,Daruka-khandha Sutta
 SN 35.202,Avassuta Sutta
 SN 35.203,Dukkhadhammaa Sutta
 SN 35.204,Kimsuka Sutta
 SN 35.204,Ki.msukaa Sutta
 SN 35.205,Vina Sutta
 SN 35.205,Vii.naa Sutta
 SN 35.206,Chappana Sutta
 SN 35.206,Chapaa.na Sutta
 SN 35.207,Yavakalapi Sutta
 SN 36.1,Samadhi Sutta
 SN 36.2,Sukha Sutta
 SN 36.3,Pahana Sutta
 SN 36.4,Patala Sutta
 SN 36.4,Patala Sutta
 SN 36.5,Datthabba Sutta
 SN 36.6,Sallatha Sutta
 SN 36.6,Sallatha Sutta
 SN 36.7,Gelañña Sutta
 SN 36.7,Gelañña Sutta
 SN 36.8,Gelañña Sutta
 SN 36.9,Anicca Sutta
 SN 36.10,Phassamulaka Sutta
 SN 36.11,Rahogata Sutta
 SN 36.11,Rahogata Sutta
 SN 36.12,Akasa Sutta
 SN 36.14,Agara Sutta
 SN 36.15,Santaka Sutta
 SN 36.19,Pañcakanga Sutta
 SN 36.19,Pañcakanga Sutta
 SN 36.21,Sivaka Sutta
 SN 36.21,Sivaka Sutta
 SN 36.22,Atthasatapariyaya Sutta
 SN 36.22,Atthasata Sutta
 SN 36.23,Bhikkhu Sutta
 SN 36.31,Niramisa Sutta
 SN 36.31,Niramisa Sutta
 SN 37.4,Vaddha Sutta
 SN 38.14,Dukkha Sutta
 SN 40.9,Animitto Sutta
 SN 41.3,Isidatta Sutta
 SN 41.4,Mahaka Sutta
 SN 41.5,Pathama Kamabhu
 SN 41.6,Kamabhu Sutta
 SN 41.7,Godatta Sutta
 SN 41.10,Gilana Sutta
 SN 41.10,Gilaana-dassana.m Sutta
 SN 42.2,Talaputa Sutta
 SN 42.3,Yodhajiva Sutta
 SN 42.6,Paccha-bhumika Sutta
 SN 42.7,Desanaa Sutta
